"Country","Week","pm25","humidity","temperature","windspeed"
"AE",2021 W47,73,64.05,26.55,2.5
"AE",2021 W48,66.5,58.6,25,2.25
"AE",2021 W49,75,57.75,23.2,1.75
"AE",2021 W50,67.5,58.35,23.45,2
"AE",2021 W51,61,64.5,23.5,2.5
"AE",2021 W52,61,64.15,22.5,2.5
"AE",2022 W01,61,56.15,20.5,3.95
"AE",2022 W02,84.5,66,21.35,2
"AE",2022 W03,61,63.15,22.25,3.55
"AE",2022 W04,111.5,68,20.5,2.5
"AE",2022 W05,103,60,21.25,2.4
"AE",2022 W06,73,54.05,20.5,3
"AE",2022 W07,73,61,21.5,2.75
"AE",2022 W08,137,63.5,22,2.5
"AR",2021 W47,13,75.4,21.6,2.5
"AR",2021 W48,30,76,20.3,0.8
"AR",2021 W49,25,74.2,22.4,3.6
"AR",2021 W50,25,73.7,23,3.6
"AR",2021 W51,34,71.9,24.2,3.6
"AR",2021 W52,25,71.3,27,2
"AR",2022 W01,17,63.9,24.2,3.6
"AR",2022 W02,61,59.5,27.6,2.5
"AR",2022 W03,17,86.9,23.7,3
"AR",2022 W04,21,71.1,25.1,3
"AR",2022 W05,21,66.1,23,2.5
"AR",2022 W06,30,68,21.2,2.5
"AR",2022 W07,25,67.3,23.3,3
"AR",2022 W08,23,80,22.3,2
"AT",2021 W47,53,88,1.1,1.2
"AT",2021 W48,34,86,1.2,1.4
"AT",2021 W49,61,87.3,0,1.5
"AT",2021 W50,42,86,2,1
"AT",2021 W51,42,77.4,0.6,1.5
"AT",2021 W52,34,83,4.2,1.4
"AT",2022 W01,32,76.5,1.3,1.8
"AT",2022 W02,61,78.2,-0.7,1.5
"AT",2022 W03,25,75,1.6,1.8
"AT",2022 W04,57,72.2,0.5,1.5
"AT",2022 W05,21,79.3,3.5,2
"AT",2022 W06,30,71.2,3.3,2.2
"AT",2022 W07,25,65,6,3
"AT",2022 W08,17,64.6,5,2.8
"AU",2021 W47,15,76,18,3.6
"AU",2021 W48,17,70.6,19.8,2.9
"AU",2021 W49,14,75.1,18.4,3.6
"AU",2021 W50,20,68.3,19.8,3.6
