"Country_code","Country","WHO_region","Week","New_cases"
"AE","United Arab Emirates","Eastern Mediterranean",2021 W49,441
"AE","United Arab Emirates","Eastern Mediterranean",2021 W50,1133
"AE","United Arab Emirates","Eastern Mediterranean",2021 W51,5678
"AE","United Arab Emirates","Eastern Mediterranean",2021 W52,14963
"AE","United Arab Emirates","Eastern Mediterranean",2022 W01,18373
"AE","United Arab Emirates","Eastern Mediterranean",2022 W02,19315
"AE","United Arab Emirates","Eastern Mediterranean",2022 W03,20705
"AE","United Arab Emirates","Eastern Mediterranean",2022 W04,17853
"AE","United Arab Emirates","Eastern Mediterranean",2022 W05,14903
"AE","United Arab Emirates","Eastern Mediterranean",2022 W06,11329
"AE","United Arab Emirates","Eastern Mediterranean",2022 W07,6911
"AE","United Arab Emirates","Eastern Mediterranean",2022 W08,4864
"AE","United Arab Emirates","Eastern Mediterranean",2022 W09,3731
"AF","Afghanistan","Eastern Mediterranean",2021 W49,180
"AF","Afghanistan","Eastern Mediterranean",2021 W50,134
"AF","Afghanistan","Eastern Mediterranean",2021 W51,157
"AF","Afghanistan","Eastern Mediterranean",2021 W52,210
"AF","Afghanistan","Eastern Mediterranean",2022 W01,233
"AF","Afghanistan","Eastern Mediterranean",2022 W02,333
"AF","Afghanistan","Eastern Mediterranean",2022 W03,870
"AF","Afghanistan","Eastern Mediterranean",2022 W04,2118
"AF","Afghanistan","Eastern Mediterranean",2022 W05,4046
"AF","Afghanistan","Eastern Mediterranean",2022 W06,4440
"AF","Afghanistan","Eastern Mediterranean",2022 W07,1778
"AF","Afghanistan","Eastern Mediterranean",2022 W08,1250
"AF","Afghanistan","Eastern Mediterranean",2022 W09,1167
"AL","Albania","Europe",2021 W49,2122
"AL","Albania","Europe",2021 W50,2025
"AL","Albania","Europe",2021 W51,1993
"AL","Albania","Europe",2021 W52,3164
"AL","Albania","Europe",2022 W01,7781
"AL","Albania","Europe",2022 W02,12453
"AL","Albania","Europe",2022 W03,15472
"AL","Albania","Europe",2022 W04,10670
"AL","Albania","Europe",2022 W05,6883
"AL","Albania","Europe",2022 W06,4043
"AL","Albania","Europe",2022 W07,2156
"AL","Albania","Europe",2022 W08,1261
"AL","Albania","Europe",2022 W09,707
"AM","Armenia","Europe",2021 W49,1815
"AM","Armenia","Europe",2021 W50,1098
"AM","Armenia","Europe",2021 W51,845
"AM","Armenia","Europe",2021 W52,526
"AM","Armenia","Europe",2022 W01,848
"AM","Armenia","Europe",2022 W02,1762
"AM","Armenia","Europe",2022 W03,4094
"AM","Armenia","Europe",2022 W04,14722
"AM","Armenia","Europe",2022 W05,23524
"AM","Armenia","Europe",2022 W06,16422
"AM","Armenia","Europe",2022 W07,9085
"AM","Armenia","Europe",2022 W08,4229
"AM","Armenia","Europe",2022 W09,1648
"AT","Austria","Europe",2021 W49,32371
"AT","Austria","Europe",2021 W50,21592
"AT","Austria","Europe",2021 W51,15191
"AT","Austria","Europe",2021 W52,20003
"AT","Austria","Europe",2022 W01,47308
"AT","Austria","Europe",2022 W02,101845
"AT","Austria","Europe",2022 W03,159626
"AT","Austria","Europe",2022 W04,221761
"AT","Austria","Europe",2022 W05,231381
"AT","Austria","Europe",2022 W06,222310
"AT","Austria","Europe",2022 W07,201339
"AT","Austria","Europe",2022 W08,189976
"AT","Austria","Europe",2022 W09,210607
"AZ","Azerbaijan","Europe",2021 W49,8369
"AZ","Azerbaijan","Europe",2021 W50,6034
"AZ","Azerbaijan","Europe",2021 W51,4722
"AZ","Azerbaijan","Europe",2021 W52,3192
"AZ","Azerbaijan","Europe",2022 W01,3368
"AZ","Azerbaijan","Europe",2022 W02,4239
"AZ","Azerbaijan","Europe",2022 W03,7116
"AZ","Azerbaijan","Europe",2022 W04,19307
"AZ","Azerbaijan","Europe",2022 W05,39839
"AZ","Azerbaijan","Europe",2022 W06,47148
"AZ","Azerbaijan","Europe",2022 W07,33381
"AZ","Azerbaijan","Europe",2022 W08,12551
"AZ","Azerbaijan","Europe",2022 W09,4698
"BA","Bosnia and Herzegovina","Europe",2021 W49,3438
"BA","Bosnia and Herzegovina","Europe",2021 W50,3249
"BA","Bosnia and Herzegovina","Europe",2021 W51,2948
"BA","Bosnia and Herzegovina","Europe",2021 W52,4421
"BA","Bosnia and Herzegovina","Europe",2022 W01,8337
"BA","Bosnia and Herzegovina","Europe",2022 W02,14469
"BA","Bosnia and Herzegovina","Europe",2022 W03,17250
"BA","Bosnia and Herzegovina","Europe",2022 W04,13819
"BA","Bosnia and Herzegovina","Europe",2022 W05,9907
"BA","Bosnia and Herzegovina","Europe",2022 W06,7897
"BA","Bosnia and Herzegovina","Europe",2022 W07,4488
"BA","Bosnia and Herzegovina","Europe",2022 W08,2660
