"Date_reported","Country_code","Country","WHO_region","New_cases","Cumulative_cases","New_deaths","Cumulative_deaths"
2021-12-06,"AF","Afghanistan","Eastern Mediterranean",23,157454,0,7312
2021-12-07,"AF","Afghanistan","Eastern Mediterranean",45,157499,4,7316
2021-12-08,"AF","Afghanistan","Eastern Mediterranean",9,157508,1,7317
2021-12-09,"AF","Afghanistan","Eastern Mediterranean",34,157542,2,7319
2021-12-10,"AF","Afghanistan","Eastern Mediterranean",43,157585,2,7321
2021-12-11,"AF","Afghanistan","Eastern Mediterranean",18,157603,3,7324
2021-12-12,"AF","Afghanistan","Eastern Mediterranean",8,157611,1,7325
2021-12-13,"AF","Afghanistan","Eastern Mediterranean",22,157633,3,7328
2021-12-14,"AF","Afghanistan","Eastern Mediterranean",15,157648,0,7328
2021-12-15,"AF","Afghanistan","Eastern Mediterranean",12,157660,1,7329
2021-12-16,"AF","Afghanistan","Eastern Mediterranean",5,157665,2,7331
2021-12-17,"AF","Afghanistan","Eastern Mediterranean",60,157725,1,7332
2021-12-18,"AF","Afghanistan","Eastern Mediterranean",9,157734,0,7332
2021-12-19,"AF","Afghanistan","Eastern Mediterranean",11,157745,1,7333
2021-12-20,"AF","Afghanistan","Eastern Mediterranean",42,157787,2,7335
2021-12-21,"AF","Afghanistan","Eastern Mediterranean",10,157797,0,7335
2021-12-22,"AF","Afghanistan","Eastern Mediterranean",19,157816,0,7335
2021-12-23,"AF","Afghanistan","Eastern Mediterranean",25,157841,6,7341
2021-12-24,"AF","Afghanistan","Eastern Mediterranean",37,157878,5,7346
2021-12-25,"AF","Afghanistan","Eastern Mediterranean",9,157887,2,7348
2021-12-26,"AF","Afghanistan","Eastern Mediterranean",15,157902,4,7352
2021-12-27,"AF","Afghanistan","Eastern Mediterranean",49,157951,2,7354
2021-12-28,"AF","Afghanistan","Eastern Mediterranean",16,157967,0,7354
2021-12-29,"AF","Afghanistan","Eastern Mediterranean",31,157998,1,7355
2021-12-30,"AF","Afghanistan","Eastern Mediterranean",41,158039,1,7356
2021-12-31,"AF","Afghanistan","Eastern Mediterranean",20,158059,0,7356
2022-01-01,"AF","Afghanistan","Eastern Mediterranean",0,158059,0,7356
2022-01-02,"AF","Afghanistan","Eastern Mediterranean",53,158112,0,7356
2022-01-03,"AF","Afghanistan","Eastern Mediterranean",44,158156,5,7361
2022-01-04,"AF","Afghanistan","Eastern Mediterranean",15,158171,3,7364
2022-01-05,"AF","Afghanistan","Eastern Mediterranean",36,158207,2,7366
2022-01-06,"AF","Afghanistan","Eastern Mediterranean",38,158245,1,7367
