"Country","WHO_region","Week_order","humidity","temperature","windspeed","people_fully_vaccinated_per_100","stringency_index","population_density","median_age","gdp_per_capita","New_cases_per_100000","pm2.5level"
"United Arab Emirates","Eastern Mediterranean","3",58.6,25,2.25,89.2057142857143,46.3,112.442,34,67293.483,4.41393590664796,"Healthy"
"United Arab Emirates","Eastern Mediterranean","4",57.75,23.2,1.75,89.5,51.85,112.442,34,67293.483,11.3401119778507,"Healthy"
"United Arab Emirates","Eastern Mediterranean","5",58.35,23.45,2,89.9828571428571,51.85,112.442,34,67293.483,56.8306759137123,"Healthy"
"United Arab Emirates","Eastern Mediterranean","6",64.5,23.5,2.5,90.28,51.85,112.442,34,67293.483,149.763544152321,"Healthy"
"United Arab Emirates","Eastern Mediterranean","7",64.15,22.5,2.5,90.68,57.4042857142857,112.442,34,67293.483,183.893978260415,"Healthy"
"United Arab Emirates","Eastern Mediterranean","8",56.15,20.5,3.95,91.035,56.7442857142857,112.442,34,67293.483,193.322385571214,"Healthy"
"United Arab Emirates","Eastern Mediterranean","9",66,21.35,2,91.39,52.78,112.442,34,67293.483,207.23479126337,"Healthy"
"United Arab Emirates","Eastern Mediterranean","10",63.15,22.25,3.55,91.846,52.78,112.442,34,67293.483,178.689337282054,"Healthy"
"United Arab Emirates","Eastern Mediterranean","11",68,20.5,2.5,92.335,44.44,112.442,34,67293.483,149.163008654818,"Unhealthy"
"United Arab Emirates","Eastern Mediterranean","12",60,21.25,2.4,92.8542857142857,44.44,112.442,34,67293.483,113.391110853548,"Unhealthy"
"United Arab Emirates","Eastern Mediterranean","13",54.05,20.5,3,93.475,44.44,112.442,34,67293.483,69.1716803874014,"Healthy"
"United Arab Emirates","Eastern Mediterranean","14",61,21.5,2.75,93.8916666666667,44.44,112.442,34,67293.483,48.6834109975865,"Healthy"
"United Arab Emirates","Eastern Mediterranean","15",63.5,22,2.5,94.3066666666667,25.7928571428571,112.442,34,67293.483,37.3432990197359,"Unhealthy"
"Austria","Europe","3",86,1.2,1.4,64.95,65.6042857142857,106.749,44.4,45436.686,357.964638565302,"Healthy"
"Austria","Europe","4",87.3,0,1.5,65.96,67.59,106.749,44.4,45436.686,238.768418519724,"Healthy"
"Austria","Europe","5",86,2,1,67.06,67.1928571428572,106.749,44.4,45436.686,167.984950246996,"Healthy"
"Austria","Europe","6",77.4,0.6,1.5,68.22,64.81,106.749,44.4,45436.686,221.196956078642,"Healthy"
"Austria","Europe","7",83,4.2,1.4,68.89,62.83,106.749,44.4,45436.686,523.140808787103,"Healthy"
"Austria","Europe","8",76.5,1.3,1.8,69.46,64.15,106.749,44.4,45436.686,1126.22126640151,"Healthy"
"Austria","Europe","9",78.2,-0.7,1.5,70.2,64.81,106.749,44.4,45436.686,1765.17448937706,"Healthy"
"Austria","Europe","10",75,1.6,1.8,70.9,64.81,106.749,44.4,45436.686,2452.27506758765,"Healthy"
"Austria","Europe","11",72.2,0.5,1.5,71.32,64.81,106.749,44.4,45436.686,2558.65484649464,"Healthy"
"Austria","Europe","12",79.3,3.5,2,71.67,64.8171428571429,106.749,44.4,45436.686,2458.34601339014,"Healthy"
"Austria","Europe","13",71.2,3.3,2.2,72.02,61.11,106.749,44.4,45436.686,2226.44473028635,"Healthy"
