"iso_code","Week","people_fully_vaccinated_per_100","stringency_index","population","population_density","median_age","gdp_per_capita"
"AW",2021 W47,72.6842857142857,41.67,107195,584.8,41.2,35973.781
"AW",2021 W48,72.814,41.67,107195,584.8,41.2,35973.781
"AW",2021 W49,73.062,41.67,107195,584.8,41.2,35973.781
"AW",2021 W50,73.254,41.67,107195,584.8,41.2,35973.781
"AW",2021 W51,73.4825,41.67,107195,584.8,41.2,35973.781
"AW",2021 W52,73.6466666666667,41.67,107195,584.8,41.2,35973.781
"AW",2022 W01,73.79,41.67,107195,584.8,41.2,35973.781
"AW",2022 W02,73.995,38.49,107195,584.8,41.2,35973.781
"AW",2022 W03,74.2142857142857,37.96,107195,584.8,41.2,35973.781
"AW",2022 W04,74.37,37.96,107195,584.8,41.2,35973.781
"AW",2022 W05,74.534,33.2028571428571,107195,584.8,41.2,35973.781
"AW",2022 W06,74.694,32.41,107195,584.8,41.2,35973.781
"AW",2022 W07,74.854,28.1757142857143,107195,584.8,41.2,35973.781
"AO",2021 W47,8.13,60.25,33933611,23.89,16.8,5819.495
"AO",2021 W48,9.05,65.0814285714286,33933611,23.89,16.8,5819.495
"AO",2021 W49,9.72,66.67,33933611,23.89,16.8,5819.495
"AO",2021 W50,10.49,66.67,33933611,23.89,16.8,5819.495
"AO",2021 W51,11.03,66.67,33933611,23.89,16.8,5819.495
"AO",2021 W52,11.58,68.2571428571429,33933611,23.89,16.8,5819.495
"AO",2022 W01,12.035,77.78,33933611,23.89,16.8,5819.495
"AO",2022 W02,12.535,77.78,33933611,23.89,16.8,5819.495
"AO",2022 W03,13.38,71.4285714285714,33933611,23.89,16.8,5819.495
"AO",2022 W04,13.94,70.37,33933611,23.89,16.8,5819.495
"AO",2022 W05,14.38,70.37,33933611,23.89,16.8,5819.495
"AO",2022 W06,14.99,61.6442857142857,33933611,23.89,16.8,5819.495
"AO",2022 W07,15.55,60.19,33933611,23.89,16.8,5819.495
"AL",2021 W47,33.2333333333333,45.37,2872934,104.871,38,11803.431
"AL",2021 W48,33.715,45.37,2872934,104.871,38,11803.431
"AL",2021 W49,34.235,45.37,2872934,104.871,38,11803.431
"AL",2021 W50,34.8375,47.7528571428571,2872934,104.871,38,11803.431
"AL",2021 W51,35.37,46.3,2872934,104.871,38,11803.431
"AL",2021 W52,35.89,46.3,2872934,104.871,38,11803.431
"AL",2022 W01,36.7,43.9171428571429,2872934,104.871,38,11803.431
"AL",2022 W02,37.1,43.52,2872934,104.871,38,11803.431
"AL",2022 W03,37.895,58.5971428571429,2872934,104.871,38,11803.431
"AL",2022 W04,38.69,61.11,2872934,104.871,38,11803.431
"AL",2022 W05,40.44,61.11,2872934,104.871,38,11803.431
"AL",2022 W06,40.88,61.11,2872934,104.871,38,11803.431
"AL",2022 W07,41.22,61.11,2872934,104.871,38,11803.431
"AE",2021 W47,89.2057142857143,46.3,9991083,112.442,34,67293.483
"AE",2021 W48,89.5,51.85,9991083,112.442,34,67293.483
"AE",2021 W49,89.9828571428571,51.85,9991083,112.442,34,67293.483
"AE",2021 W50,90.28,51.85,9991083,112.442,34,67293.483
"AE",2021 W51,90.68,57.4042857142857,9991083,112.442,34,67293.483
"AE",2021 W52,91.035,56.7442857142857,9991083,112.442,34,67293.483
"AE",2022 W01,91.39,52.78,9991083,112.442,34,67293.483
"AE",2022 W02,91.846,52.78,9991083,112.442,34,67293.483
"AE",2022 W03,92.335,44.44,9991083,112.442,34,67293.483
"AE",2022 W04,92.8542857142857,44.44,9991083,112.442,34,67293.483
"AE",2022 W05,93.475,44.44,9991083,112.442,34,67293.483
"AE",2022 W06,93.8916666666667,44.44,9991083,112.442,34,67293.483
"AE",2022 W07,94.3066666666667,25.7928571428571,9991083,112.442,34,67293.483
"AR",2021 W47,63.456,42.59,45605823,16.177,31.9,18933.907
"AR",2021 W48,65.6871428571429,42.59,45605823,16.177,31.9,18933.907
"AR",2021 W49,67.462,41.8014285714286,45605823,16.177,31.9,18933.907
"AR",2021 W50,68.9014285714286,39.55,45605823,16.177,31.9,18933.907
"AR",2021 W51,70.108,37.96,45605823,16.177,31.9,18933.907
"AR",2021 W52,71.3366666666667,40.3428571428571,45605823,16.177,31.9,18933.907
"AR",2022 W01,72.6375,41.0085714285714,45605823,16.177,31.9,18933.907
"AR",2022 W02,73.6985714285714,37.04,45605823,16.177,31.9,18933.907
"AR",2022 W03,74.7883333333333,37.04,45605823,16.177,31.9,18933.907
"AR",2022 W04,75.802,37.04,45605823,16.177,31.9,18933.907
"AR",2022 W05,76.6333333333333,37.04,45605823,16.177,31.9,18933.907
